gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,1,1,空,开,7786.0,196.56019656019657,12:26:00,2019-06-09 12:26:00,0,0,306.0835380835381,98.28009828009829,60m
BACKTESTING,XBTUSD,BITMEX,2,2,空,开,7760.5,196.56019656019657,12:31:00,2019-06-09 12:31:00,0,0,305.0810810810811,98.28009828009829,1m
BACKTESTING,XBTUSD,BITMEX,3,3,空,开,7709.5,196.56019656019657,14:08:00,2019-06-09 14:08:00,0,0,303.0761670761671,98.28009828009829,1m
BACKTESTING,XBTUSD,BITMEX,4,4,空,开,7633.0,196.56019656019657,16:33:00,2019-06-09 16:33:00,0,0,300.06879606879613,98.28009828009829,1m
BACKTESTING,XBTUSD,BITMEX,5,5,多,平,7735.0,786.2407862407863,19:31:00,2019-06-09 19:31:00,-10024.570024570025,-13241.434889434888,1216.3144963144964,393.12039312039315,1m
BACKTESTING,XBTUSD,BITMEX,6,6,空,开,7591.5,156.55577299412917,22:08:00,2019-06-09 22:08:00,0,0,237.6986301369863,78.27788649706459,1m
BACKTESTING,XBTUSD,BITMEX,7,7,空,开,7559.5,156.55577299412917,22:08:00,2019-06-09 22:08:00,0,0,236.6966731898239,78.27788649706459,1m
BACKTESTING,XBTUSD,BITMEX,8,8,多,平,7687.0,313.11154598825834,03:30:00,2019-06-10 03:30:00,-34911.93737769109,-36180.821917808506,481.3776908023484,156.55577299412917,1m
BACKTESTING,XBTUSD,BITMEX,9,9,多,开,7775.0,132.05678441729944,11:28:00,2019-06-10 11:28:00,0,0,205.34829976890066,66.02839220864972,1m
BACKTESTING,XBTUSD,BITMEX,10,10,多,开,7813.0,132.05678441729944,11:28:00,2019-06-10 11:28:00,0,0,206.35193133047213,66.02839220864972,1m
BACKTESTING,XBTUSD,BITMEX,11,11,多,开,7888.5,132.05678441729944,11:34:00,2019-06-10 11:34:00,0,0,208.34598877517334,66.02839220864972,1m
BACKTESTING,XBTUSD,BITMEX,12,12,多,开,8002.0,132.05678441729944,11:35:00,2019-06-10 11:35:00,0,0,211.34367778144605,66.02839220864972,1m
BACKTESTING,XBTUSD,BITMEX,13,13,空,平,7912.5,528.2271376691978,10:12:00,2019-06-11 10:12:00,22647.738527567333,20452.20204688064,835.9194453615055,264.1135688345989,1m
BACKTESTING,XBTUSD,BITMEX,14,14,空,开,7830.0,188.5902876001886,10:13:00,2019-06-11 10:13:00,0,0,295.3323903818953,94.2951438000943,1m
BACKTESTING,XBTUSD,BITMEX,15,15,空,开,7830.0,188.5902876001886,10:13:00,2019-06-11 10:13:00,0,0,295.3323903818953,94.2951438000943,1m
BACKTESTING,XBTUSD,BITMEX,16,16,空,开,7830.0,188.5902876001886,10:13:00,2019-06-11 10:13:00,0,0,295.3323903818953,94.2951438000943,1m
BACKTESTING,XBTUSD,BITMEX,17,17,空,开,7810.5,188.5902876001886,10:13:00,2019-06-11 10:13:00,0,0,294.5968882602546,94.2951438000943,1m
BACKTESTING,XBTUSD,BITMEX,18,18,多,平,7916.5,754.3611504007544,18:10:00,2019-06-11 18:10:00,-68929.75011786893,-72059.08533710513,1194.3800094295145,377.1805752003772,1m
BACKTESTING,XBTUSD,BITMEX,19,19,多,开,8000.0,152.26494099733537,02:49:00,2019-06-12 02:49:00,0,0,243.6239055957366,76.13247049866769,1m
BACKTESTING,XBTUSD,BITMEX,20,20,多,开,8033.0,152.26494099733537,02:49:00,2019-06-12 02:49:00,0,0,244.62885420631903,76.13247049866769,1m
BACKTESTING,XBTUSD,BITMEX,21,21,多,开,8098.5,152.26494099733537,15:11:00,2019-06-12 15:11:00,0,0,246.62352493338415,76.13247049866769,1m
